question,factscore,hhem,bertscore,selfcheck,risk
What is AI?,0.5,0.20482319593429565,0.8832873,0.5093620419502258,0.33291708827018734
What is ML?,0.5,0.2901991605758667,0.9014088,0.6432199676831564,0.3281339963277181
